0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
The Slaver Weapon,L'arma degli Slavers,Das Geheimnis der Stasis-Box,Q9246,1,22011,14,15 dicembre 1973,1973-12-15,Star Trek: The Animated Series,Q11188,14,The Slaver Weapon,Q3499413,The Slaver Weapon (episode),Das Geheimnis der Stasis-Box,,22011,
The Eye of the Beholder,Con gli occhi dello spettatore,Auf der Suche nach Überlebenden,Q9129,1,22016,15,5 gennaio 1974,1974-01-05,Star Trek: The Animated Series,Q11188,15,The Eye of the Beholder,Q7732922,The Eye of the Beholder (episode),Auf der Suche nach Überlebenden,,22016,
The Jihad,Guerra santa,Das gestohlene Gehirnwellenmuster,Q9160,1,22014,16,12 gennaio 1974,1974-01-12,Star Trek: The Animated Series,Q11188,16,The Jihad,Q7743259,The Jihad (episode),Das gestohlene Gehirnwellenmuster,,22014,
The Pirates of Orion,I pirati di Orione,Die Piraten von Orion,Q9215,2,22020,17,7 settembre 1974,1974-09-07,Star Trek: The Animated Series,Q11188,1,The Pirates of Orion,Q7757264,The Pirates of Orion (episode),Die Piraten von Orion,,22020,
Bem,Il comandante Bem,Gefährliche Prüfung,Q1157,2,22018,18,14 settembre 1974,1974-09-14,Star Trek: The Animated Series,Q11188,2,Bem,Q4884981,Bem (episode),Gefährliche Prüfung,,22018,
The Practical Joker,Il computer si diverte,Wüste Scherze,Q9216,2,22021,19,21 settembre 1974,1974-09-21,Star Trek: The Animated Series,Q11188,3,The Practical Joker,Q7757988,The Practical Joker (episode),Wüste Scherze,,22021,
Albatross,L'aurora che uccide,Doktor McCoy unter Anklage,Q260,2,22019,20,28 settembre 1974,1974-09-28,Star Trek: The Animated Series,Q11188,4,Albatross,Q4709451,Albatross (episode),Dr. McCoy unter Anklage,,22019,
How Sharper Than A Serpent's Tooth,È più tagliente di un morso di un serpente,Kulkulkan - der Mächtige,Q3823,2,22022,21,5 ottobre 1974,1974-10-05,Star Trek: The Animated Series,Q11188,5,How Sharper Than A Serpent's Tooth,Q5918105,How Sharper Than a Serpent's Tooth (episode),Kulkulkan – Der Mächtige,,22022,
The Counter-Clock Incident,Universi paralleli,,Q9097,2,22023,22,12 ottobre 1974,1974-10-12,Star Trek: The Animated Series,Q11188,6,The Counter-Clock Incident,Q20963,The Counter-Clock Incident (episode),Flucht aus einem anderen Universum,,22023,
Encounter at Farpoint,Incontro a Farpoint,Der Mächtige Mission Farpoint,Q2866,1,721,"1,2",28 settembre 1987,1987-09-28,Star Trek: The Next Generation,Q10690,1,Encounter at Farpoint,Q3239271,Encounter at Farpoint (episode),,,,KO
The Naked Now,Contaminazione,Gedankengift (Veleno del pensiero),Q9194,1,103,3,5 ottobre 1987,1987-10-05,Star Trek: The Next Generation,Q10690,3,The Naked Now,Q3231807,The Naked Now (episode),Gedankengift,,103,
Code of Honor,Codice d'onore,Der Ehrenkodex (Il codice d'onore),Q1963,1,104,4,12 ottobre 1987,1987-10-12,Star Trek: The Next Generation,Q10690,4,Code of Honor,Q3231770,Code of Honor (episode),Der Ehrenkodex,,104,
The Last Outpost,L'ultimo avamposto,Der Wächter (Il guardiano),Q9169,1,107,5,19 ottobre 1987,1987-10-19,Star Trek: The Next Generation,Q10690,5,The Last Outpost,Q3232629,The Last Outpost (episode),Der Wächter,,107,
Where No One Has Gone Before,Dove nessuno è mai giunto prima,,Q10026,1,106,6,26 ottobre 1987,1987-10-26,Star Trek: The Next Generation,Q10690,6,Where No One Has Gone Before,Q3435698,Where No One Has Gone Before (episode),Der Reisende (Episode),,106,
Lonely Among Us,Solo in mezzo a noi,Die geheimnisvolle Kraft (La forza misteriosa),Q5501,1,108,7,2 novembre 1987,1987-11-02,Star Trek: The Next Generation,Q10690,7,Lonely Among Us,Q3231795,Lonely Among Us (episode),Die geheimnisvolle Kraft,,108,
Justice,Il giudizio,Das Gesetz von Edo (La legge degli Edo),Q4709,1,109,8,9 novembre 1987,1987-11-09,Star Trek: The Next Generation,Q10690,8,Justice,Q3436313,Justice (episode),Das Gesetz der Edo,,109,
The Battle,La battaglia,Die Schlacht von Maxia (La battaglia di Maxia),Q9065,1,110,9,16 novembre 1987,1987-11-16,Star Trek: The Next Generation,Q10690,9,The Battle,Q785059,The Battle (episode),Die Schlacht von Maxia,,110,
Hide And Q,Il ritorno di Q,Rikers Versuchung (La tentazione di Riker),Q3778,1,111,10,23 novembre 1987,1987-11-23,Star Trek: The Next Generation,Q10690,10,Hide And Q,Q1102231,Hide and Q (episode),Rikers Versuchung,,111,
Haven,Haven,Die Frau seiner Träume (La donna dei suoi sogni),Q3704,1,105,11,30 novembre 1987,1987-11-30,Star Trek: The Next Generation,Q10690,11,Haven,Q3231778,Haven (episode),Die Frau seiner Träume,,105,
The Big Goodbye,Il grande addio,Der große Abschied (Il grande addio),Q9071,1,113,12,11 gennaio 1988,1988-01-11,Star Trek: The Next Generation,Q10690,12,The Big Goodbye,Q652999,The Big Goodbye (episode),Der große Abschied (Episode),,113,
Datalore,Datalore,Das Duplikat (Il duplicato),Q2256,1,114,13,18 gennaio 1988,1988-01-18,Star Trek: The Next Generation,Q10690,13,Datalore,Q3435716,Datalore (episode),Das Duplikat,,114,
Angel One,Missione di soccorso,Planet Angel One (Pianeta Angel One),Q442,1,115,14,25 gennaio 1988,1988-01-25,Star Trek: The Next Generation,Q10690,14,Angel One,Q3231803,Angel One (episode),Planet Angel One,,115,
11001001,1001001,11001001,Q109,1,116,15,1 febbraio 1988,1988-02-01,Star Trek: The Next Generation,Q10690,15,11001001,Q901789,11001001 (episode),11001001,,116,
Too Short A Season,Guerra privata,Die Entscheidung des Admirals (La decisione dell'ammiraglio),Q9512,1,112,16,8 febbraio 1988,1988-02-08,Star Trek: The Next Generation,Q10690,16,Too Short A Season,Q3435679,Too Short a Season (episode),Die Entscheidung des Admirals,,112,
When the Bough Breaks,Il pianeta sterile,Die Sorge der Aldeaner (La preoccupazione degli Aldeani),Q10024,1,118,17,13 febbraio 1988,1988-02-13,Star Trek: The Next Generation,Q10690,17,When the Bough Breaks,Q3445450,When The Bough Breaks (episode),Die Sorge der Aldeaner,,118,
Home Soil,Progetto Terraforming,Ein Planet wehrt sich (Un pianeta resiste),Q3803,1,117,18,22 febbraio 1988,1988-02-22,Star Trek: The Next Generation,Q10690,18,Home Soil,Q3444454,Home Soil (episode),Ein Planet wehrt sich,,117,
Coming of Age,L'età della ragione,Prüfungen (Tests),Q1989,1,119,19,14 marzo 1988,1988-03-14,Star Trek: The Next Generation,Q10690,19,Coming of Age,Q3441834,Coming of Age (episode),Prüfungen,,120,KO
Heart of Glory,Cuore di Klingon,Worfs Brüder (I fratelli di Worf),Q3718,1,120,20,21 marzo 1988,1988-03-21,Star Trek: The Next Generation,Q10690,20,Heart of Glory,Q3444395,Heart of Glory (episode),Worfs Brüder,,120,
The Arsenal of Freedom,L'arsenale della libertà,Die Waffenhändler (I venditori di armi),Q9058,1,121,21,11 aprile 1988,1988-04-11,Star Trek: The Next Generation,Q10690,21,The Arsenal of Freedom,Q3435829,The Arsenal of Freedom (episode),Die Waffenhändler,,121,
Symbiosis,Simbiosi,Die Seuche (L'epidemia),Q8756,1,123,22,18 aprile 1988,1988-04-18,Star Trek: The Next Generation,Q10690,22,Symbiosis,Q3444480,Symbiosis (episode),Die Seuche,,123,
Skin of Evil,La pelle del male,Die schwarze Seele (L'anima nera),Q8311,1,122,23,25 aprile 1988,1988-04-25,Star Trek: The Next Generation,Q10690,23,Skin of Evil,Q1392472,Skin of Evil (episode),Die schwarze Seele,,122,
We'll Always Have Paris,Ricordare Parigi,Begegnung mit der Vergangenheit (Incontro con il passato),Q9999,1,124,24,2 maggio 1988,1988-05-02,Star Trek: The Next Generation,Q10690,24,We'll Always Have Paris,Q3444400,We'll Always Have Paris (episode),Begegnung mit der Vergangenheit,,124,
Conspiracy,Cospirazione,Die Verschwörung (La cospirazione),Q2006,1,125,25,9 maggio 1988,1988-05-09,Star Trek: The Next Generation,Q10690,25,Conspiracy,Q3280032,Conspiracy (episode),Die Verschwörung,,125,
The Neutral Zone,La zona neutrale,Die neutrale Zone (La zona neutrale),Q9196,1,126,26,16 maggio 1988,1988-05-16,Star Trek: The Next Generation,Q10690,26,The Neutral Zone,Q1058477,The Neutral Zone (episode),Die neutrale Zone,,126,
The Child,Il bambino,Das Kind (Il bambino),Q9082,2,127,27,21 novembre 1988,1988-11-21,Star Trek: The Next Generation,Q10690,1,The Child,Q3441905,The Child (episode),Das Kind,,127,
Where Silence Has Lease,Dove regna il silenzio,Illusion oder Wirklichkeit? (Illusione o realtà?),Q10027,2,128,28,28 novembre 1988,1988-11-28,Star Trek: The Next Generation,Q10690,2,Where Silence Has Lease,Q3275179,Where Silence Has Lease (episode),Illusion oder Wirklichkeit?,,128,
"Elementary, Dear Data","Elementare, caro Data",Sherlock Data Holmes,Q2805,2,129,29,5 dicembre 1988,1988-12-05,Star Trek: The Next Generation,Q10690,3,"Elementary, Dear Data",Q3441887,"Elementary, Dear Data (episode)",Sherlock Data Holmes,,129,
The Outrageous Okona,Okona l'immorale,Der unmögliche Captain Okona (L'impossibile Capitano Okona),Q9208,2,130,30,12 dicembre 1988,1988-12-12,Star Trek: The Next Generation,Q10690,4,The Outrageous Okona,Q3444382,The Outrageous Okona (episode),Der unmögliche Captain Okona,,130,
Loud as a Whisper,Rumoroso come un sussurro,Der stumme Vermittler (Il mediatore muto),Q5533,2,132,31,9 gennaio 1989,1989-01-09,Star Trek: The Next Generation,Q10690,5,Loud as a Whisper,Q3444361,Loud As A Whisper (episode),Der stumme Vermittler,,132,
The Schizoid Man,L'uomo schizoide,Das fremde Gedächtnis (La memoria aliena),Q9236,2,131,32,23 gennaio 1989,1989-01-23,Star Trek: The Next Generation,Q10690,6,The Schizoid Man,Q3441896,The Schizoid Man (episode),Das fremde Gedächtnis,,131,
Unnatural Selection,Selezione innaturale,Die jungen Greise (I vecchi giovani),Q9730,2,133,33,30 gennaio 1989,1989-01-30,Star Trek: The Next Generation,Q10690,7,Unnatural Selection,Q3441900,Unnatural Selection (episode),Die jungen Greise,,133,
A Matter of Honor,Questione d'onore,Der Austauschoffizier (Lo scambio di ufficiali),Q113,2,134,34,6 febbraio 1989,1989-02-06,Star Trek: The Next Generation,Q10690,8,A Matter of Honor,Q3444506,A Matter Of Honor (episode),Der Austauschoffizier,,134,
The Measure of a Man,La misura di un uomo,Wem gehört Data? (Di chi è Data?),Q9185,2,135,35,13 febbraio 1989,1989-02-13,Star Trek: The Next Generation,Q10690,9,The Measure of a Man,Q3507037,The Measure Of A Man (episode),Wem gehört Data?,,135,
The Dauphin,La delfina,Die Thronfolgerin (L'erede al trono),Q9102,2,136,36,20 febbraio 1989,1989-02-20,Star Trek: The Next Generation,Q10690,10,The Dauphin,Q3444444,The Dauphin (episode),Die Thronfolgerin,,136,
Contagion,Contagio,,Q2010,2,137,37,20 marzo 1989,1989-03-20,Star Trek: The Next Generation,Q10690,11,Contagion,Q3444431,Contagion (episode),Die Iconia-Sonden,,137,
The Royale,Hotel Royale,Hotel Royale,Q9234,2,138,38,27 marzo 1989,1989-03-27,Star Trek: The Next Generation,Q10690,12,The Royale,Q3444409,The Royale (episode),Hotel Royale (Episode),,138,
Time Squared,Tempo al quadrato,Die Zukunft schweigt (Il futuro tace),Q9375,2,139,39,3 aprile 1989,1989-04-03,Star Trek: The Next Generation,Q10690,13,Time Squared,Q3441864,Time Squared (episode),Die Zukunft schweigt,,139,
The Icarus Factor,Fattore Icaro,Rikers Vater (Il padre di Riker),Q9153,2,140,40,24 aprile 1989,1989-04-24,Star Trek: The Next Generation,Q10690,14,The Icarus Factor,Q3441800,The Icarus Factor (episode),Rikers Vater,,140,
Pen Pals,Amici per la pelle,Brieffreunde (Amici di penna),Q7091,2,141,41,1 maggio 1989,1989-05-01,Star Trek: The Next Generation,Q10690,15,Pen Pals,Q7162099,Pen Pals (episode),Brieffreunde,,141,
Q Who?,Chi è Q?,Zeitsprung mit Q (Salto temporale con Q),Q7321,2,142,42,8 maggio 1989,1989-05-08,Star Trek: The Next Generation,Q10690,16,Q Who,Q653011,Q Who (episode),Zeitsprung mit Q,,142,
Samaritan Snare,Trappola per samaritani,Das Herz des Captains (Il cuore di un Capitano),Q7989,2,143,43,15 maggio 1989,1989-05-15,Star Trek: The Next Generation,Q10690,17,Samaritan Snare,Q3441872,Samaritan Snare (episode),Das Herz eines Captains,,143,
Up The Long Ladder,L'avventura del Mariposa,Der Planet der Klone (Il pianeta dei cloni),Q9737,2,144,44,22 maggio 1989,1989-05-22,Star Trek: The Next Generation,Q10690,18,Up The Long Ladder,Q3441829,Up The Long Ladder (episode),Der Planet der Klone,,144,
Manhunt,Caccia all'uomo,"Andere Sterne, andere Sitten (Altre stelle, altre usanze)",Q5871,2,145,45,19 giugno 1989,1989-06-19,Star Trek: The Next Generation,Q10690,19,Manhunt,Q3141435,Manhunt (episode),"Andere Sterne, andere Sitten",,145,
The Emissary,L'emissario,Klingonenbegegnung (Incontro di Klingon),Q9115,2,146,46,26 giugno 1989,1989-06-26,Star Trek: The Next Generation,Q10690,20,The Emissary,Q3497290,The Emissary (episode),Klingonenbegegnung,,146,
Peak Performance,Una perfetta strategia,Galavorstellung (Esibizione di gala),Q7076,2,147,47,10 luglio 1989,1989-07-10,Star Trek: The Next Generation,Q10690,21,Peak Performance,Q3506645,Peak Performance (episode),Galavorstellung,,147,
Shades of Gray,Ombre dal passato,Kraft der Träume (Il potere dei sogni),Q8168,2,148,48,17 luglio 1989,1989-07-17,Star Trek: The Next Generation,Q10690,22,Shades of Gray,Q3496861,Shades of Gray (episode),Kraft der Träume,,148,
Evolution,Evoluzione,Die Macht der Naniten,Q3025,3,150,49,25 settembre 1989,1989-09-25,Star Trek: The Next Generation,Q10690,1,Evolution,Q5418604,Evolution (episode),Die Macht der Naniten,,150,
The Ensigns of Command,Le insegne del comando,Die Macht der Paragraphen,Q9121,3,149,50,2 ottobre 1989,1989-10-02,Star Trek: The Next Generation,Q10690,2,The Ensigns of Command,Q7732278,The Ensigns of Command (episode),Die Macht der Paragraphen,,149,
The Survivors,I sopravvissuti,Überlebenden von Rana Vier,Q9257,3,151,51,9 ottobre 1989,1989-10-09,Star Trek: The Next Generation,Q10690,3,The Survivors,Q3272694,The Survivors (episode),Die Überlebenden auf Rana-Vier,,151,
Who Watches the Watchers?,Prima direttiva,Der Gott der Mintakaner,Q10035,3,152,52,16 ottobre 1989,1989-10-16,Star Trek: The Next Generation,Q10690,4,Who Watches the Watchers,Q7997416,Who Watches The Watchers (episode),Der Gott der Mintakaner,,152,
The Bonding,Il vincolo,Mutterliebe,Q9072,3,153,53,23 ottobre 1989,1989-10-23,Star Trek: The Next Generation,Q10690,5,The Bonding,Q7719097,The Bonding (episode),Mutterliebe,,153,
Booby Trap,Trappola spaziale,Die Energiefalle,Q1314,3,154,54,30 ottobre 1989,1989-10-30,Star Trek: The Next Generation,Q10690,6,Booby Trap,Q4942782,Booby Trap (episode),Die Energiefalle,,154,
The Enemy,Il nemico,Auf schmalem Grat,Q9119,3,155,55,6 novembre 1989,1989-11-06,Star Trek: The Next Generation,Q10690,7,The Enemy,Q7732182,The Enemy (episode),Auf schmalem Grat,,155,
The Price,Tunnel conteso,Die Barzanhandel,Q9217,3,156,56,13 novembre 1989,1989-11-13,Star Trek: The Next Generation,Q10690,8,The Price,Q3496852,The Price (episode),Der Barzanhandel,,156,
The Vengeance Factor,Fattore vendetta,"Yuta, die letzte ihres Clans",Q9277,3,157,57,20 novembre 1989,1989-11-20,Star Trek: The Next Generation,Q10690,9,The Vengeance Factor,Q7772167,The Vengeance Factor (episode),"Yuta, die Letzte ihres Clans",,157,
The Defector,Il traditore,Der Überläufer,Q9104,3,158,58,30 dicembre 1989,1989-12-30,Star Trek: The Next Generation,Q10690,10,The Defector,Q7729572,The Defector (episode),Der Überläufer,,158,
The Hunted,I perseguitati,Die Verfemten,Q9152,3,159,59,8 gennaio 1990,1990-01-08,Star Trek: The Next Generation,Q10690,11,The Hunted,Q7741062,The Hunted (episode),Die Verfemten,,159,
The High Ground,I terroristi di Rutia,Terror auf Rutia Vier,Q9148,3,160,60,29 gennaio 1990,1990-01-29,Star Trek: The Next Generation,Q10690,12,The High Ground,Q7739598,The High Ground (episode),Terror auf Rutia-Vier,,160,
Déjà Q,Déjà Q,Noch einmal Q,Q2429,3,161,61,5 febbraio 1990,1990-02-05,Star Trek: The Next Generation,Q10690,13,Déjà Q,Q3177080,Deja Q (episode),Noch einmal Q,,161,
A Matter of Perspective,Punti di vista,Riker unter Verdacht,Q114,3,162,62,12 febbraio 1990,1990-02-12,Star Trek: The Next Generation,Q10690,14,A Matter of Perspective,Q4658162,A Matter of Perspective (episode),Riker unter Verdacht,,162,
Yesterday's Enterprise,L'Enterprise del passato,Die alte Enterprise,Q10167,3,163,63,19 febbraio 1990,1990-02-19,Star Trek: The Next Generation,Q10690,15,Yesterday's Enterprise,Q722470,Yesterday's Enterprise (episode),Die alte Enterprise,,163,
The Offspring,La figlia di Data,Datas Nachkomme,Q9204,3,164,64,12 marzo 1990,1990-03-12,Star Trek: The Next Generation,Q10690,16,The Offspring,Q3496188,The Offspring (episode),Datas Nachkomme,,164,
Sins of the Father,I peccati del padre,Die Sünden des Vaters,Q8296,3,165,65,19 marzo 1990,1990-03-19,Star Trek: The Next Generation,Q10690,17,Sins of the Father,Q7525019,Sins of the Father (episode),Die Sünden des Vaters,,165,
Allegiance,Questione di lealtà,Versuchskaninchen,Q347,3,166,66,26 marzo 1990,1990-03-26,Star Trek: The Next Generation,Q10690,18,Allegiance,Q4731367,Allegiance (episode),Versuchskaninchen (Episode),,166,
Captain's Holiday,Le vacanze del capitano,Picard macht Urlaub,Q1569,3,167,67,2 aprile 1990,1990-04-02,Star Trek: The Next Generation,Q10690,19,Captain's Holiday,Q5036491,Captain's Holiday (episode),Picard macht Urlaub,,167,
Tin Man,L'uomo di latta,Der Telepath,Q9408,3,168,68,23 aprile 1990,1990-04-23,Star Trek: The Next Generation,Q10690,20,Tin Man,Q7807780,Tin Man (episode),Der Telepath,,168,
Hollow Pursuits,Illusione o realtà?,Der schüchterne Reginald,Q3798,3,169,69,30 aprile 1990,1990-04-30,Star Trek: The Next Generation,Q10690,21,Hollow Pursuits,Q5881753,Hollow Pursuits (episode),Der schüchterne Reginald,,169,
The Most Toys,Il collezionista,Der Sammler,Q9190,3,170,70,7 maggio 1990,1990-05-07,Star Trek: The Next Generation,Q10690,22,The Most Toys,Q7752382,The Most Toys (episode),Der Sammler,,170,
Sarek (episodio),Sarek,Botschafter Sarek,Q8029,3,171,71,14 maggio 1990,1990-05-14,Star Trek: The Next Generation,Q10690,23,Sarek,Q7423845,Sarek (episode),Botschafter Sarek,,171,
Ménage à Troi,Il rapimento,Die Damen Troi,Q6191,3,172,72,28 maggio 1990,1990-05-28,Star Trek: The Next Generation,Q10690,24,Ménage à Troi,Q6950089,Ménage à Troi (episode),Die Damen Troi,,172,
Transfigurations,Trasformazioni,Wer ist John?,Q9580,3,173,73,4 giugno 1990,1990-06-04,Star Trek: The Next Generation,Q10690,25,Transfigurations,Q7834056,Transfigurations (episode),Wer ist John?,,173,
The Best of Both Worlds - Part I,L'attacco dei Borg - Prima parte,In den Händen der Borg,Q9068,3,174,74,18 giugno 1990,1990-06-18,Star Trek: The Next Generation,Q10690,26,"The Best of Both Worlds, Part I",Q42593561,The Best of Both Worlds (episode),In den Händen der Borg,,40273-174,KO
The Best of Both Worlds - Part II,L'attacco dei Borg - Seconda parte,Angriffsziel Erde,Q9069,4,175,75,24 settembre 1990,1990-09-24,Star Trek: The Next Generation,Q10690,1,"The Best of Both Worlds, Part II",Q42593592,"The Best of Both Worlds, Part II (episode)",Angriffsziel Erde,,40274-175,KO
Family,Famiglie,Familienbegegnung,Q3071,4,178,76,1 ottobre 1990,1990-10-01,Star Trek: The Next Generation,Q10690,2,Family,Q5231126,Family (episode),Familienbegegnung,,178,
Brothers,Fratelli,Die ungleichen Brüder,Q1453,4,177,77,8 ottobre 1990,1990-10-08,Star Trek: The Next Generation,Q10690,3,Brothers,Q14045941,Brothers (episode),Die ungleichen Brüder,,177,
Suddenly Human,Improvvisamente umano,Endars Sohn,Q8699,4,176,78,15 ottobre 1990,1990-10-15,Star Trek: The Next Generation,Q10690,4,Suddenly Human,Q7633644,Suddenly Human (episode),Endars Sohn,,176,
Remember Me,Ricordatemi,Das Experiment,Q7534,4,179,79,22 ottobre 1990,1990-10-22,Star Trek: The Next Generation,Q10690,5,Remember Me,Q7311668,Remember Me (episode),Das Experiment,,179,
Legacy (tng080),Sorelle,Die Rettungsoperation,Q5331,4,180,80,29 ottobre 1990,1990-10-29,Star Trek: The Next Generation,Q10690,6,Legacy,Q6517221,Legacy (episode),Die Rettungsoperation,,180,
Reunion,Successione,Tödliche Nachfolge,Q7574,4,181,81,5 novembre 1990,1990-11-05,Star Trek: The Next Generation,Q10690,7,Reunion,Q7317572,Reunion (episode),Tödliche Nachfolge,,181,
Future Imperfect,Futuro imperfetto,Gedächtnisverlust,Q3259,4,182,82,12 novembre 1990,1990-11-12,Star Trek: The Next Generation,Q10690,8,Future Imperfect,Q5510689,Future Imperfect (episode),Gedächtnisverlust (Episode),,182,
Final Mission,L'ultima missione,Die letzte Mission,Q3127,4,183,83,19 novembre 1990,1990-11-19,Star Trek: The Next Generation,Q10690,9,Final Mission,Q5449415,Final Mission (episode),Die letzte Mission,,183,
The Loss,La perdita,Das kosmische Band,Q9172,4,184,84,31 dicembre 1990,1990-12-31,Star Trek: The Next Generation,Q10690,10,The Loss,Q7748511,The Loss (episode),Das kosmische Band,,184,
Data's Day,Una giornata di Data,Datas Tag,Q2255,4,185,85,7 gennaio 1991,1991-01-07,Star Trek: The Next Generation,Q10690,11,Data's Day,Q5227090,Data's Day (episode),Datas Tag,,185,
The Wounded,Un uomo ferito,Der Rachefeldzug,Q9292,4,186,86,28 gennaio 1991,1991-01-28,Star Trek: The Next Generation,Q10690,12,The Wounded,Q7776238,The Wounded (episode),Der Rachefeldzug,,186,
Devil's Due,Il diavolo,Der Pakt mit dem Teufel,Q2504,4,187,87,4 febbraio 1991,1991-02-04,Star Trek: The Next Generation,Q10690,13,Devil's Due,Q5267117,Devil's Due (episode),Der Pakt mit dem Teufel,,187,
Clues,Indizi,Beweise,Q1957,4,188,88,11 febbraio 1991,1991-02-11,Star Trek: The Next Generation,Q10690,14,Clues,Q5136591,Clues (episode),Beweise,,188,
First Contact (episodio),Primo contatto,Erster Kontakt,Q3137,4,189,89,16 febbraio 1991,1991-02-16,Star Trek: The Next Generation,Q10690,15,First Contact,Q5452876,First Contact (episode),Erster Kontakt,,189,
Galaxy's Child,Il figlio della galassia,Die Begegnung im Weltraum,Q3289,4,190,90,11 marzo 1991,1991-03-11,Star Trek: The Next Generation,Q10690,16,Galaxy's Child,Q5518088,Galaxy's Child (episode),Die Begegnung im Weltraum,,190,
Night Terrors,Terrori notturni,Augen in der Dunkelheit,Q6699,4,191,91,18 marzo 1991,1991-03-18,Star Trek: The Next Generation,Q10690,17,Night Terrors,Q7033484,Night Terrors (episode),Augen in der Dunkelheit,,191,
Identity Crisis,Metamorfosi,Der unbekannte Schatten,Q3868,4,192,92,25 marzo 1991,1991-03-25,Star Trek: The Next Generation,Q10690,18,Identity Crisis,Q5988287,Identity Crisis (episode),Der unbekannte Schatten,,192,
The Nth Degree,All'ennesima potenza,Die Reise ins Ungewisse,Q9203,4,193,93,1 aprile 1991,1991-04-01,Star Trek: The Next Generation,Q10690,19,The Nth Degree,Q7754466,The Nth Degree (episode),Die Reise ins Ungewisse,,193,
QPid,Q-Pido,Gefangen in der Vergangenheit,Q7339,4,194,94,22 aprile 1991,1991-04-22,Star Trek: The Next Generation,Q10690,20,QPid,Q7268179,Qpid (episode),Gefangen in der Vergangenheit,,194,
The Drumhead,Giustizia sommaria,Das Standgericht,Q9114,4,195,95,29 aprile 1991,1991-04-29,Star Trek: The Next Generation,Q10690,21,The Drumhead,Q7731084,The Drumhead (episode),Das Standgericht,,195,
Half a Life,Una vita a metà,Die Auflösung,Q3628,4,196,96,6 maggio 1991,1991-05-06,Star Trek: The Next Generation,Q10690,22,Half a Life,Q16744047,Half a Life (episode),Die Auflösung,,196,
The Host,L'ospite,"Odan, der Sonderbotschafter",Q9150,4,197,97,13 maggio 1991,1991-05-13,Star Trek: The Next Generation,Q10690,23,The Host,Q7740379,The Host (episode),"Odan, der Sonderbotschafter",,197,
The Mind's Eye,Con gli occhi della mente,Verräterische Signale,Q9187,4,198,98,27 maggio 1991,1991-05-27,Star Trek: The Next Generation,Q10690,24,The Mind's Eye,Q7751507,The Mind's Eye (episode),Verräterische Signale,,198,
In Theory,Programma: amore,Datas erste Liebe,Q3928,4,199,99,3 giugno 1991,1991-06-03,Star Trek: The Next Generation,Q10690,25,In Theory,Q6010920,In Theory (episode),Datas erste Liebe,,199,
Redemption - Part I,La via di Klingon - Prima parte,Der Kampf um das klingonische Reich I,Q7488,4,200,100,17 giugno 1991,1991-06-17,Star Trek: The Next Generation,Q10690,26,"Redemption, Part 1",,,,,,KO
Redemption - Part II,La via di Klingon - Seconda parte,Der Kampf um das klingonische Reich II,Q7489,5,201,101,23 settembre 1991,1991-09-23,Star Trek: The Next Generation,Q10690,1,Redemption - Part II,,,,,,KO
Darmok,Darmok,Darmok,Q2244,5,202,102,30 settembre 1991,1991-09-30,Star Trek: The Next Generation,Q10690,2,Darmok,Q5224065,Darmok (episode),Darmok (Episode),,40275-202,KO
Ensign Ro,Il guardiamarina Ro,Fähnrich Ro,Q2881,5,203,103,7 ottobre 1991,1991-10-07,Star Trek: The Next Generation,Q10690,3,Ensign Ro,Q5380005,Ensign Ro (episode),Fähnrich Ro,,203,
Silicon Avatar,L'entità di cristallo,Das Recht auf Leben,Q8264,5,204,104,14 ottobre 1991,1991-10-14,Star Trek: The Next Generation,Q10690,4,Silicon Avatar,Q16744119,Silicon Avatar (episode),Das Recht auf Leben,,204,
Disaster,Disastro sull'Enterprise,Katastrophe auf der Enterprise,Q2563,5,205,105,21 ottobre 1991,1991-10-21,Star Trek: The Next Generation,Q10690,5,Disaster,Q5281321,Disaster (episode),Katastrophe auf der Enterprise,,205,
The Game,Il gioco,Gefährliche Spielsucht,Q9142,5,206,106,28 ottobre 1991,1991-10-28,Star Trek: The Next Generation,Q10690,6,The Game,Q7735700,The Game (episode),Gefährliche Spielsucht,,206,
Unification - Part I,Il segreto di Spock - Prima parte,Wiedervereinigung?,Q9714,5,208,107,4 novembre 1991,1991-11-04,Star Trek: The Next Generation,Q10690,7,Unification I,Q42600249,Unification I (episode),Wiedervereinigung? Teil I,,,KO
Unification - Part II,Il segreto di Spock - Seconda parte,Wiedervereinigung?,Q9715,5,207,108,11 novembre 1991,1991-11-11,Star Trek: The Next Generation,Q10690,8,Unification III,Q100327260,Unification III (episode),Wiedervereinigung Teil III,,,KO
A Matter of Time,Uno strano visitatore,Der zeitreisende Historiker,Q115,5,209,109,18 novembre 1991,1991-11-18,Star Trek: The Next Generation,Q10690,9,A Matter of Time,Q4658168,A Matter of Time (episode),Der zeitreisende Historiker,,209,
New Ground,L'onda soliton,Die Soliton-Welle,Q6663,5,210,110,6 gennaio 1992,1992-01-06,Star Trek: The Next Generation,Q10690,10,New Ground,Q16744120,New Ground (episode),Die Soliton-Welle,,210,
